,City,Name,Score,Link,Pets,Price
0,Barcelona,El Avenida Palace,8.8,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,111
1,Barcelona,W Barcelona,8.5,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,256
2,Barcelona,Negresco Princess 4* Sup,8.3,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,77
3,Barcelona,Novotel Barcelona City,8.3,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",69
4,Barcelona,Ayre Hotel Rosellón,8.8,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,74
5,Barcelona,H10 Cubik 4* Sup,9.2,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,137
6,Barcelona,Hotel SB Icaria Barcelona,8.0,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,92
8,Barcelona,Wilson Boutique Hotel,8.7,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,90
9,Barcelona,Aparthotel Bcn Montjuic,8.3,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,82
10,Barcelona,Hotel SB Diagonal Zero Barcelona 4* Sup,7.9,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,132
11,Barcelona,H10 Casa Mimosa 4* Sup,9.4,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,134
12,Barcelona,Travelodge Barcelona Poblenou,8.0,https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html,Pets are allowed on request. Charges may be applicable.,62
13,Barcelona,Hotel Arts Barcelona,8.5,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,302
14,Barcelona,Kimpton Vividora Hotel,8.9,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,139
